524409,524406
797092,797088
266133,266135
333693,333703
622884,622887
190075,170815
426734,430074
24089,1249
559914,559918
38906,38089
661604,661601
867659,867640
382179,359299
525142,525158
792542,792442
236499,261410
733559,733556
760431,760437
496076,495435
701133,701147
628517,628470
270985,270988
838497,838490
557475,557449
647671,587056
153635,153628
260884,260885
767235,767355
719938,12113
261656,244900
244905,261662
671719,671722
32573,32569
148219,148215
370722,370717
345117,345107
636391,636384
794456,794454
918452,918450
850930,653550
68471,68477
5695,19433
80832,80817
224693,224692
120893,137367
483595,483599
569461,569465
154302,145749
292240,292239
416079,418007
655665,655673
760116,31790
664696,664690
79650,465657
826216,826184
284318,272959
244887,244892
533581,533579
485934,486463
942950,533590
578400,578396
293782,210434
709221,709201
587490,582110
379244,379245
49941,43227
854618,914301
591520,591517
703136,810952
500845,503623
59915,56265
568940,740882
483235,480951
136565,150387
90424,90421
6688,6692
365385,365351
798057,71135
342934,342932
770247,770289
390071,390066
527064,527062
134847,134843
355661,355657
144551,117549
124182,124178
798310,798122
338144,338137
51177,20025
311104,228102
642371,642232
472140,573907
891637,54736
399496,389684
561465,561463
928619,928617
635941,635938
724780,58575
511952,516076
186902,186897
